model,loop,scale,dloc,concurrence
BHZ,CB,0.1,0.01799975700098414,0.01799902017950338
BHZ,CB,0.11,0.019799676568584976,0.019798704408483542
BHZ,CB,0.12,0.021599580098448864,0.02159831377031583
BHZ,CB,0.13,0.023399466132654076,0.023397862330746165
BHZ,CB,0.14,0.02519933321329298,0.02519733174622282
BHZ,CB,0.15,0.026999179882473353,0.0269967106074372
BHZ,CB,0.16,0.02879900468231951,0.02879601765213732
BHZ,CB,0.17,0.030598806154973443,0.03059521759386673
BHZ,CB,0.18,0.032398582842596065,0.03239433159353234
BHZ,CB,0.19,0.034198333287368356,0.0341933280548616
BHZ,CB,0.2,0.03599805603149256,0.03599221785344245
BHZ,CB,0.21,0.03779774961719334,0.03779098723325006
BHZ,CB,0.22,0.039597412586719,0.039589643827838944
BHZ,CB,0.23,0.04139704348234263,0.041388168624781396
BHZ,CB,0.24,0.043196640846363286,0.0431865558401896
BHZ,CB,0.25,0.044996203221107235,0.04498480439388946
BHZ,CB,0.26,0.04679572914892906,0.04678291762072347
BHZ,CB,0.27,0.04859521717221279,0.048580870383309535
BHZ,CB,0.28,0.05039466583337329,0.05037865602248895
BHZ,CB,0.29,0.0521940736748572,0.05217629524630243
BHZ,CB,0.3,0.053993439239144306,0.05397374947809839
BHZ,CB,0.31,0.05579276106874857,0.05577104396995419
BHZ,CB,0.32,0.05759203770621942,0.057568148637465025
BHZ,CB,0.33,0.05939126769414289,0.0593650738992267
BHZ,CB,0.34,0.06119044957514276,0.06116179389022591
BHZ,CB,0.35000000000000003,0.06298958189188184,0.06295832553084182
BHZ,CB,0.36,0.064788663187063,0.06475465206331683
BHZ,CB,0.37,0.06658769200343055,0.06655077124776863
BHZ,CB,0.38,0.0683866668837712,0.06834666822815172
BHZ,CB,0.39,0.0701855863709154,0.07014234881507077
BHZ,CB,0.4,0.07198444900773852,0.07193780218000227
BHZ,CB,0.41000000000000003,0.07378325333716185,0.07373302255258354
BHZ,CB,0.42,0.07558199790215402,0.07552800704036401
BHZ,CB,0.43,0.07738068124573201,0.07732273655302944
BHZ,CB,0.44,0.07917930191096242,0.07911722184407152
BHZ,CB,0.45,0.08097785844096263,0.08091144950763664
BHZ,CB,0.46,0.08277634937890192,0.08270542076554825
BHZ,CB,0.47000000000000003,0.08457477326800275,0.08449911875761257
BHZ,CB,0.48,0.08637312865154183,0.0862925419323381
BHZ,CB,0.49,0.08817141407285146,0.08808568363757142
BHZ,CB,0.5,0.08996962807532047,0.08987854606711322
BHZ,CB,0.51,0.09176776920239572,0.09167110905691277
BHZ,CB,0.52,0.09356583599758286,0.09346338028269406
BHZ,CB,0.53,0.09536382700444797,0.09525535490084013
BHZ,CB,0.54,0.09716174076661852,0.0970470172776993
BHZ,CB,0.55,0.09895957582778422,0.09883836221844501
BHZ,CB,0.56,0.100757330731699,0.10062938794745187
BHZ,CB,0.5700000000000001,0.1025550040221814,0.10242008180033597
BHZ,CB,0.58,0.10435259424311609,0.1042104474854203
BHZ,CB,0.59,0.10615009993845514,0.10600048349681183
BHZ,CB,0.6,0.10794751965221915,0.10779017017696153
BHZ,CB,0.61,0.10974485192849802,0.10957949947382642
BHZ,CB,0.62,0.11154209531145287,0.11136848079907986
BHZ,CB,0.63,0.11333924834531665,0.1131571070280729
BHZ,CB,0.64,0.11513630957439547,0.11494535901694143
BHZ,CB,0.65,0.1169332775430698,0.11673324528517824
BHZ,CB,0.66,0.11873015079579576,0.11852074061932982
BHZ,CB,0.67,0.12052692787710599,0.12030786499808534
BHZ,CB,0.68,0.1223236073316113,0.12209459578848288
BHZ,CB,0.6900000000000001,0.12412018770400128,0.12388093268501917
BHZ,CB,0.7000000000000001,0.12591666753904607,0.12566686607651062
BHZ,CB,0.71,0.12771304538159697,0.12745239449871507
BHZ,CB,0.72,0.12950931977658817,0.1292375007206608
BHZ,CB,0.73,0.13130548926903737,0.13102219638913362
BHZ,CB,0.74,0.1331015524040475,0.1328064667668767
BHZ,CB,0.75,0.13489750772680748,0.13459030996894883
BHZ,CB,0.76,0.13669335378259354,0.13637371101940982
BHZ,CB,0.77,0.13848908911677044,0.138156668033296
BHZ,CB,0.78,0.1402847122747928,0.13993918477502695
BHZ,CB,0.79,0.1420802218022059,0.1417212421379148
BHZ,CB,0.8,0.1438756162446471,0.14350284579062522
BHZ,CB,0.81,0.14567089414784698,0.14528398549487365
BHZ,CB,0.8200000000000001,0.14746605405763058,0.14706464505567493
BHZ,CB,0.8300000000000001,0.14926109451991848,0.1488448380293793
BHZ,CB,0.84,0.15105601408072797,0.15062454942942036
BHZ,CB,0.85,0.15285081128617428,0.1524037673224296
BHZ,CB,0.86,0.15464548468247186,0.15418248446181662
BHZ,CB,0.87,0.15644003281593524,0.15596070943565346
BHZ,CB,0.88,0.15823445423298066,0.15773843653069863
