model,orientation,center_theta1_over_pi,center_theta2_over_pi,radius_over_pi,n_points,D_loc_strict,D_loc_swap,ep_exact,arg_det,max_abs_phase,eigphase_1,eigphase_2,eigphase_3,eigphase_4,schmidt_1,schmidt_2,schmidt_3,schmidt_4
BBH,+,1.0,1.0,0.53,121,0.17641552234283825,0.17641552234283825,0.00684762918488873,2.4980018054066022e-15,0.8270221507200027,-0.8270221507200027,-0.6472387432932556,0.6472387432932594,0.8270221507200018,1.9922193908691246,0.17380167322470103,0.029127647125862226,0.0025411025667022554
BBH,+,1.0,1.0,0.532442,121,0.1780047509568895,0.1780047509568895,0.006970315679255545,1.776356839400251e-15,0.8342343151992566,-0.8342343151992544,-0.6466296718350188,0.6466296718350178,0.8342343151992566,1.9920785771592024,0.17539043316340144,0.029232078434596447,0.0025737071607996576
BBH,+,1.0,1.0,0.535,121,0.17965985484649674,0.17965985484649674,0.00709920936818441,3.608224830031759e-15,0.8417614150423699,-0.8417614150423673,-0.6457645886129061,0.6457645886129081,0.8417614150423699,1.991930584139134,0.1770438879922378,0.029346317973496894,0.0026083169130770244
BBH,+,1.0,1.0,0.54,121,0.18286880781405132,0.18286880781405132,0.007352366684958422,-2.4424906541753444e-15,0.8563628159285532,-0.8563628159285532,-0.6434316614640369,0.6434316614640379,0.8563628159285496,1.9916397497821692,0.18024612698218617,0.029584994218045745,0.0026774825242240007
BBH,+,1.0,1.0,0.545,121,0.1860471183398307,0.1860471183398307,0.00760733185191478,1.332267629550188e-15,0.8707658900217,-0.8707658900217,-0.6402949763569172,0.6402949763569196,0.8707658900216991,1.9913466174393617,0.1834129514662991,0.029845965455339876,0.002748962217618528
BBH,+,1.0,1.0,0.55,121,0.18920010002298354,0.18920010002298354,0.007864409675034581,-1.831867990631508e-15,0.8849075142354936,-0.8849075142354936,-0.6364056143330352,0.636405614333037,0.8849075142354903,1.991050830537824,0.18654943742309776,0.030131832320092804,0.0028231707004304422
BBH,+,1.0,1.0,0.6,121,0.22108339697422422,0.22108339697422422,0.01069344080910343,8.326672684688675e-16,0.9947286803999631,-0.994728680399963,-0.5648895824967763,0.5648895824967773,0.9947286803999631,1.9877805328955842,0.21790157629734255,0.035109027659519114,0.0038486705864540383
BBH,+,1.0,1.0,0.65,121,0.2657797146710994,0.2657797146710994,0.015346004162514217,1.165734175856414e-15,0.9622589177188778,-0.9622589177188775,-0.4527468998919865,0.452746899891988,0.9622589177188778,1.9823402858173476,0.2613319251792071,0.04469781205002331,0.005892512682056461
BBH,+,1.0,1.0,0.7,121,0.36039191598612635,0.36039191598612635,0.027690738132302505,-1.3322676295501878e-15,0.6811528858965551,-0.6811528858965551,-0.3182862771058248,0.3182862771058233,0.6811528858965548,1.9675294167229604,0.3555915842064762,0.048033913800761385,0.008681169063534491
BBH,+,1.0,1.0,0.75,121,0.47850590519260167,0.47850590519260167,0.04730550112676764,-1.02695629777827e-14,0.40561716288001504,-0.40561716288001504,-0.2582110938209407,0.2582110938209361,0.4056171628800095,1.9427580246739489,0.4733226395046363,0.039548645723461937,0.009635409631523416
BBH,+,1.0,1.0,0.8,121,0.542302562722814,0.542302562722814,0.0595063948302018,-1.462718834943643e-14,0.45600111651120995,-0.45600111651120995,-0.22090723850210112,0.2209072385020979,0.4560011165111985,1.9264769826160686,0.5361947597969214,0.0331158559824786,0.00921710905669896
BBH,+,1.0,1.0,0.85,121,0.5568560024305359,0.5568560024305359,0.06241723003559308,-4.198030811863873e-16,0.6133366473888311,-0.6133366473888305,-0.1804234047883213,0.18042340478832092,0.6133366473888311,1.9224778481392717,0.5502262432561307,0.03506147168554727,0.010034831801697926
BBH,+,1.0,1.0,0.9,121,0.5386731415832735,0.5386731415832735,0.058781269982401664,-4.57966997657877e-15,0.7226864532826611,-0.7226864532826611,-0.183998938651219,0.18399893865121897,0.7226864532826568,1.9274578116342043,0.5322570027020951,0.03866360765586164,0.010676745192731889
BBH,+,1.0,1.0,0.95,121,0.48186556034629197,0.48186556034629197,0.04792299365184194,0.0,0.7680960629813172,-0.7680960629813159,-0.1715680617492381,0.17156806174923722,0.7680960629813172,1.941951395438037,0.47666869973909576,0.03898897418159805,0.009570179599223357
BHZ,+,1.0,1.0,0.05,121,7.33337117335744e-05,7.33337117335744e-05,1.195050971760894e-09,1.7946510569950486e-16,3.669672706518341e-05,-3.669672706490341e-05,-3.669672705699323e-05,3.669672705688213e-05,3.669672706518341e-05,1.9999999986555625,7.333371170286106e-05,1.6422968298373144e-09,6.194194544202832e-14
BHZ,+,1.0,1.0,0.1,121,0.000277269930321057,0.000277269930321057,1.7084131492200388e-08,2.629187727178507e-15,0.0001387592376816669,-0.0001387592376816669,-0.00013875923767780812,0.0001387592376810561,0.00013875923768131394,1.9999999807803506,0.00027726992936094597,1.276812464179853e-08,1.7756191537508729e-12
BHZ,+,1.0,1.0,0.15,121,0.0005666477918924237,0.0005666477918924237,7.135325540296043e-08,3.7137143132828083e-16,0.0002836231569579819,-0.0002836231569579819,-0.0002836231569441886,0.0002836231569502932,0.0002836231569523937,1.9999999197275775,0.0005666477847148431,4.1117618035809604e-08,1.164655334354376e-11
