s,gap,joint,deltaA,deltaB,frame_overlap,edge_weight
0.675,0.26216491522744434,0.0005056751754789311,1.838988506089441,1.5348924175398406,0.9999553998784831,0.6035124393777103
0.6833333333333333,0.2620980740357832,0.000500435867826832,1.8389886814025764,1.5344600047447599,0.999955373360031,0.6035125297095372
0.6916666666666667,0.2620318910371261,0.0004939337427129606,1.8389888621567803,1.5341903758536786,0.999955359172652,0.6035126228449357
0.7,0.26196647939682355,0.0004861525780616937,1.8389890478566313,1.5340865728626891,0.9999553576018106,0.6035127185286361
0.7083333333333334,0.26190194050298155,0.00047708454031045167,1.8389892379931523,1.5341497683468874,0.9999553686789502,0.6035128164983816
0.7166666666666667,0.2618383658039067,0.00046672990663218955,1.838989432045203,1.5343792510803953,0.9999553921804373,0.6035129164856519
0.725,0.2617758382948552,0.0004550968462689975,1.8389896294809123,1.534772434749405,0.9999554276350763,0.6035130182163935
0.7333333333333333,0.2617144337263791,0.0004422012749515188,1.8389898297591274,1.5353248896189897,0.9999554743398364,0.6035131214117744
0.7416666666666667,0.2616542215909472,0.0004280668031082818,1.8389900323309099,1.5360303966492386,0.9999555313830162,0.603513225788948
0.75,0.26159526593228427,0.0004127248088356802,1.8389902366410287,1.5368810232045322,0.9999555976737416,0.6035133310618261
0.7583333333333333,0.2615376260123924,0.0003962146823141987,1.8389904421294878,1.5378672191711609,0.9999556719764167,0.6035134369418655
0.7666666666666666,0.26148135686381746,0.00037858431281320314,1.8389906482330618,1.538977932000599,0.9999557529485185,0.6035135431388583
0.775,0.2614265097489874,0.00035989092818427485,1.8389908543868365,1.5402007389358665,0.9999558391800852,0.6035136493617265
0.7833333333333333,0.26137313254394134,0.00034020245958979114,1.838991060025756,1.5415219944613714,0.9999559292332044,0.6035137553193197
0.7916666666666666,0.26132127006028366,0.00031959970850822626,1.8389912645861757,1.5429269908457126,0.9999560216799012,0.6035138607212143
0.8,0.2612709643164254,0.0002981797703126502,1.8389914675074084,1.544400129523874,0.999956115136989,0.6035139652785093
0.8083333333333333,0.2612222547670243,0.00027606147711228785,1.8389916682332528,1.5459251009894954,0.9999562082967012,0.603514068704617
0.8166666666666667,0.2611751784978103,0.0002533941705473702,1.8389918662135307,1.547485070837788,0.9999562999521469,0.6035141707160502
0.825,0.26112977039162866,0.00023037210379688836,1.838992060905579,1.5490628696117192,0.9999563890169876,0.6035142710331967
0.8333333333333334,0.2610860632704556,0.00020725855612458986,1.838992251775752,1.5506411841540682,0.9999564745389918,0.6035143693810898
0.8416666666666667,0.2610440880172585,0.0001844268493984288,1.838992438300878,1.5522027482506364,0.9999565557074471,0.6035144654901585
