kx,vartheta,gap,joint,deltaA,deltaB,edge_weight_2row,nloc_theta
0.05,5.974176193711737,0.4246713465967945,0.007021090604803428,1.80032402605253,1.8410200552104126,0.9522063239898724,0.054100345611220194
0.05,6.077179231534354,0.42449597274914674,0.006672217367588812,1.803818159327728,1.8427001514323906,0.9523997709422101,0.05360946414874262
0.05,6.18018226935697,0.4247983736455646,0.006450754352724183,1.8073475640613168,1.843807654258888,0.9525516100279813,0.053351532048714304
0.060000000000000005,0.0,0.42503411469501423,0.006459856945020456,1.8107242269654553,1.844207460608358,0.9526557727351339,0.053371547421653086
0.060000000000000005,0.10300303782261616,0.4265151527983656,0.006438857427445432,1.8076147853629823,1.844118957931208,0.9527318393632248,0.05359332518965245
0.060000000000000005,0.20600607564523232,0.4284577710912252,0.006574123812592249,1.8045182976340857,1.843429268825329,0.9527614861461982,0.054041043622922655
0.060000000000000005,0.3090091134678485,0.43082420719739534,0.00684139712401865,1.8014741241600487,1.842185598249876,0.9527474754582792,0.05469008752421116
0.060000000000000005,0.41201215129046465,0.4335618557232229,0.007208483392548819,1.7985208300856999,1.8404591290041237,0.9526944450558413,0.055507269920655626
0.060000000000000005,0.5150151891130808,0.43660471136557577,0.00764189793574827,1.7956952295755795,1.8383405563618702,0.9526085522858287,0.056452963879698885
0.060000000000000005,0.618018226935697,0.4398752958235801,0.008111061732514462,1.793031580467463,1.8359348628149528,0.9524970581405432,0.05748336623439834
0.060000000000000005,0.7210212647583132,0.44328706502733295,0.008589945926316468,1.7905609745885855,1.8333557654525212,0.9523678895874599,0.05855271013060656
0.060000000000000005,0.8240243025809293,0.4467472969195958,0.00905715549060323,1.7883109424638082,1.8307202286561848,0.9522292144077399,0.05961530273216298
0.060000000000000005,0.9270273404035454,0.4501604475791626,0.009495374515807278,1.7863052656863658,1.8281433556078959,0.9520890548888273,0.06062731955546071
0.060000000000000005,1.0300303782261615,0.45343191947444356,0.00989069451377591,1.7845639695061282,1.8257338734401192,0.951954957132061,0.06154832845045119
0.060000000000000005,1.1330334160487778,0.4564721008769291,0.010232036482644775,1.7831034542411794,1.8235903275469418,0.9518337233120726,0.06234254316322012
0.060000000000000005,1.236036453871394,0.45920042009905065,0.01051071677700447,1.781936717318863,1.8217980150225903,0.9517312063355581,0.06297982165993034
0.060000000000000005,1.33903949169401,0.46154905115770944,0.010720143744835167,1.7810736172488246,1.8204266239570912,0.9516521607611396,0.06343643152365128
0.060000000000000005,1.4420425295166264,0.46346586771651216,0.010855615986582098,1.78052113510938,1.8195285074087137,0.9516001407737522,0.06369560642203946
0.060000000000000005,1.5450455673392425,0.4649163156756482,0.01091419524012232,1.780283596548991,1.8191375070550928,0.9515774352660207,0.06374791552300546
0.060000000000000005,1.6480486051618586,0.464250835046539,0.010894634291114074,1.780362826474074,1.8192682479183502,0.9515850312421325,0.06359146282993641
0.060000000000000005,1.7510516429844747,0.46256402131818525,0.010797348094668424,1.7807582185440305,1.8199158470066958,0.9516225993093643,0.06323192652879811
0.060000000000000005,1.8540546808070908,0.4604258503300351,0.010624423269508942,1.7814667117928218,1.8210560096903112,0.9516884984343752,0.06268244042392777
0.060000000000000005,1.9570577186297071,0.45787982034908636,0.01037966756095266,1.7824826769378657,1.8226455226508074,0.9517798009151928,0.06196331129085908
0.060000000000000005,2.060060756452323,0.45498621521720367,0.010068707495522349,1.783797725168542,1.8246231859195718,0.9518923421736141,0.06110155841817789
0.060000000000000005,2.1630637942749393,0.45181965919210465,0.009699149856193403,1.7854004623232065,1.8269112534241152,0.9520208030178239,0.06013025561798578
0.060000000000000005,2.2660668320975557,0.4484657384371242,0.009280830505236351,1.7872762210154634,1.8294174660645215,0.9521588339478108,0.059087652363953254
0.060000000000000005,2.3690698699201715,0.4450170708735149,0.008826179828695102,1.7894068117150153,1.832037758222273,0.9522992313486796,0.058016050344533394
0.060000000000000005,2.472072907742788,0.4415692197761253,0.008350729496985421,1.7917703398340008,1.8346596930960832,0.9524341735544952,0.05696041586509514
0.060000000000000005,2.575075945565404,0.4382167655160406,0.007873750558908231,1.794341137965605,1.8371666316120168,0.9525555204408428,0.055966719317051265
