model,eta_numeric,D_loc,ep_mean,ep_stderr,gap_min,joint_max,overlap_min,eta_axis2
SSH,0.4666666666666668,0.2001202926562536,0.008820964735973477,0.00036078306555941975,0.2605776850236992,0.0010828573425223837,0.9990329142212461,False
SSH,0.5333333333333332,0.14238769993948336,0.004247687761846685,0.00018649070498753201,0.2605705480224866,0.001104838486188479,0.9961957045373676,False
SSH,0.6000000000000001,0.14279169157477722,0.004268532706141064,0.0001874708761209269,0.2605623973480203,0.0011223521755273792,0.9971856700132318,False
SSH,0.6666666666666665,0.1430780755157822,0.004283343684336131,0.00018816377527575124,0.2605539496571627,0.0011351703333902267,0.9980365793930218,False
SSH,0.7333333333333334,0.14326083403481463,0.004292786418565005,0.0001886037223788072,0.26054665148281414,0.0011431432516974325,0.9987454751068382,False
SSH,0.7999999999999998,0.14335696485332033,0.004297720732781986,0.00018883258976149262,0.2605393207006713,0.0011510142468781268,0.9993024314219668,False
SSH,0.8666666666666667,0.14338542609630797,0.004299131571126163,0.00018889707601984528,0.2605341657395195,0.0011565728924736467,0.999599093036384,False
SSH,0.9333333333333331,0.1433662875569652,0.004298072687548121,0.0001888464840651497,0.2605311890467985,0.001158365523827718,0.9995990959770995,False
SSH,1.0,0.1433200860325784,0.004295623959081563,0.00018873105207645858,0.26053039203527406,0.0011564651191260697,0.9995990979753457,False
SSH,1.0666666666666664,0.1432647779375033,0.004292726181584437,0.00018859448664270307,0.26053177508315617,0.0011578430104549836,0.9995438759184244,False
SSH,1.1333333333333333,0.14320774544087844,0.004289760853325695,0.00018845448720156147,0.26053372016190895,0.0011573039178695416,0.9994852854327914,False
SSH,1.2000000000000002,0.14315366054651324,0.00428696450392773,0.0001883220620223503,0.26053639860314226,0.0011540117214795585,0.9994231036030007,False
SSH,1.2666666666666666,0.1431071078283444,0.004284567661017991,0.00018820800939417298,0.26054046859612895,0.0011479863663969782,0.999357466027427,False
SSH,1.3333333333333335,0.14307260182066775,0.004282797159692828,0.00018812301676196804,0.26054533962621473,0.0011443498165939787,0.9992886055044048,False
SSH,1.4,0.1430546184390401,0.004281879181862097,0.0001880777764168437,0.26054828650065076,0.0011421537238259579,0.9992156729595791,False
SSH,1.4666666666666668,0.14305763895251586,0.0042820428174645,0.00018808311187318427,0.26055200925661626,0.0011379883244321924,0.9990329142212461,False
SSH,1.5333333333333332,0.2802422112141923,0.015660287115357847,0.0006822920887191873,0.2605565072360361,0.0011318632307314481,0.9961957045373676,False
SSH,1.6,0.2810067008136468,0.015744207556596702,0.000685948329635946,0.26056087561026187,0.00112378075288734,0.9971856700132326,False
SSH,1.6666666666666665,0.281438245641605,0.015791612906472498,0.0006880101626210357,0.26056282397762837,0.0011174159737393902,0.9980365793930218,False
SSH,1.7333333333333334,0.2815847176969517,0.01580763431652714,0.0006887012805405107,0.2605651123830475,0.0011149748600199035,0.9987454751068384,False
SSH,1.7999999999999998,0.2814951329948805,0.015797640895728958,0.0006882560432694822,0.2605677406383743,0.0011111848872892775,0.9987069702188329,False
SSH,1.8666666666666667,0.2812193457584688,0.015767157260014524,0.0006869158131902082,0.260570708527434,0.0011060571177767436,0.9986101561642515,False
SSH,1.9333333333333331,0.280807769335264,0.015721792246995728,0.0006849257622570582,0.26057401580599704,0.0010996041172236536,0.9985098778707421,False
SSH,2.0,0.28031112384964907,0.015667179875670977,0.0006825322051744855,0.2605776622017605,0.0010918382793833408,0.9984080402475439,False
SSH,,0.20125205422363285,0.008513588266706354,0.00037259074248365145,0.2606008858341555,0.0008314010648774878,0.9998995877254693,True
BBH,-2.0,0.43204100348409,0.03647282434157438,0.001717192797330462,0.027470717363999753,0.020877604177551485,0.9065037855672711,False
BBH,-1.9333333333333333,0.4036140133684284,0.03208174826627273,0.001505944427335656,0.023172203072570396,0.021782333382036702,0.9169893822526576,False
BBH,-1.8666666666666667,0.33499132507983737,0.02256421551228397,0.001047096186488844,0.02402373021191051,0.019617733577603012,0.9211988669347911,False
BBH,-1.8,0.23991351288894425,0.011869958757390242,0.0005409209547402947,0.029760739574348216,0.02036761893221743,0.9257982838662913,False
BBH,-1.7333333333333334,0.15369427311330205,0.00503201557575714,0.00022172582786826172,0.027168336437350393,0.02103502365124099,0.9202247685206257,False
